team_name,opponent_pace,opponent_offensive_rating,opponent_free_throw_attempt_rate,opponent_three_point_attempt_rate,opponent_true_shooting_percentage,opponent_team_rebound_percentage,opponent_assist_percentage,opponent_steal_percentage,opponent_block_percentage,opponent_effective_field_goal_percentage,opponent_turnover_percentage,opponent_offensive_rebound_percentage,opponent_free_throws_per_field_goal_attempt,pace,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,team_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage,free_throws_per_field_goal_attempt,opponent_field_goals,opponent_field_goals_attempted,opponent_field_goal_percentage,opponent_three_point_field_goals,opponent_three_point_field_goals_attempted,opponent_three_point_percentage,opponent_free_throws,opponent_free_throws_attempted,opponent_free_throw_percentage,opponent_offensive_rebounds,opponent_team_rebounds,opponent_assists,opponent_steals,opponent_blocks,opponent_turnovers,opponent_personal_fouls,games,wins,losses,win_percentage,simple_rating_system,strength_of_schedule,wins_conf,losses_conf,home_wins,home_losses,wins_visitor,losses_visitor,team_points,opponent_points,minutes_played,field_goals,field_goals_attempted,field_goal_percentage,three_point_field_goals,three_point_field_goals_attempted,three_point_percentage,free_throws,free_throws_attempted,free_throw_percentage,offensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,personal_fouls,conference,points_per_game,opponent_points_per_game,margin_of_victory,offensive_srs,defensive_srs,offensive_rating_adjusted,defensive_rating_adjusted,net_rating_adjusted,date
Louisiana,61.3,103.7,.648,.374,.534,52.8,56.4,9.0,4.9,.495,15.6,29.9,.407,61.3,99.6,.204,.408,.540,47.2,43.8,9.8,14.0,.534,17.5,21.7,.117,39,91,.429,12,34,.353,37,59,.627,20,67,22,11,3,22,28,2,1,1,.500,-13.91,-11.41,,,1,0,0,1,122,127,80,48,103,.466,14,42,.333,12,21,.571,13,60,21,12,8,24,47,Sun Belt,61.0,63.5,-2.50,-27.50,13.59,64.43,94.22,-29.79,2025-11-08
Louisiana State,68.2,88.0,.290,.355,.425,33.9,40.0,13.2,0.0,.379,11.3,27.3,.210,68.2,140.8,.630,.391,.803,66.1,63.6,7.3,15.0,.804,21.1,46.7,.478,20,62,.323,7,22,.318,13,18,.722,12,20,8,9,0,9,21,1,1,0,1.000,10.67,-25.33,,,1,0,0,0,96,60,40,33,46,.717,8,18,.444,22,29,.759,7,39,21,5,6,16,18,SEC,96.0,60.0,36.00,0.00,10.67,112.63,87.70,24.93,2025-11-08
Louisiana Tech,62.7,122.8,.500,.357,.556,63.4,64.0,9.6,10.7,.500,12.6,48.6,.375,62.7,79.8,.340,.440,.430,36.6,55.6,9.6,22.2,.390,18.3,22.2,.220,25,56,.446,6,20,.300,21,28,.750,17,45,16,6,3,10,17,1,0,1,.000,0.00,27.00,,,0,0,0,1,50,77,40,18,50,.360,3,22,.136,11,17,.647,8,26,10,6,8,13,21,CUSA,50.0,77.0,-27.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Louisiana-Monroe,74.5,126.2,.298,.458,.629,62.1,62.7,8.1,12.5,.611,17.2,43.5,.214,74.5,98.6,.339,.443,.550,37.9,49.0,10.1,4.2,.526,17.3,19.7,.226,67,131,.511,26,60,.433,28,39,.718,30,87,42,12,8,31,42,2,0,2,.000,-13.26,7.25,,,0,0,0,2,147,188,80,51,115,.443,19,51,.373,26,39,.667,14,53,25,15,3,28,33,Sun Belt,73.5,94.0,-20.50,-0.74,-12.52,92.09,115.53,-23.44,2025-11-08
Louisville,79.3,72.5,.317,.383,.417,39.2,39.5,7.6,14.1,.371,21.1,21.6,.217,79.3,132.3,.527,.504,.651,60.8,69.1,14.5,6.8,.612,14.3,38.6,.403,38,120,.317,13,46,.283,26,38,.684,19,62,15,12,9,37,47,2,2,0,1.000,9.00,-38.50,,,2,0,0,0,210,115,80,68,129,.527,22,65,.338,52,68,.765,27,96,47,23,5,27,39,ACC,105.0,57.5,47.50,5.00,4.00,100.49,105.01,-4.53,2025-11-08
Loyola (IL),69.7,115.5,.373,.407,.580,58.0,62.3,7.2,16.1,.525,15.8,41.5,.314,69.7,111.9,.403,.529,.550,42.0,71.4,7.2,21.4,.504,12.9,28.2,.303,53,118,.449,18,48,.375,37,44,.841,27,83,33,10,9,26,39,2,1,1,.500,-12.56,-10.06,,,1,1,0,0,156,161,80,49,119,.412,22,63,.349,36,48,.750,22,60,35,10,15,21,37,A-10,78.0,80.5,-2.50,-4.83,-7.73,107.26,115.60,-8.34,2025-11-08
Loyola (MD),68.7,92.4,.328,.218,.462,43.8,37.5,7.3,8.2,.424,10.4,22.2,.218,68.7,110.6,.388,.397,.530,56.2,44.0,5.1,8.6,.483,11.7,31.9,.289,48,119,.403,5,26,.192,26,39,.667,18,67,18,10,6,16,35,2,1,1,.500,0.00,11.00,,,1,0,0,0,152,127,80,50,121,.413,17,48,.354,35,47,.745,23,86,22,7,8,19,33,Patriot,76.0,63.5,12.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
Loyola Marymount,77.7,74.6,.354,.407,.439,34.8,56.4,7.1,2.4,.389,20.5,12.8,.248,77.7,133.2,.369,.369,.677,65.2,52.6,10.3,17.9,.654,12.6,35.1,.285,39,113,.345,10,46,.217,28,40,.700,10,47,22,11,2,34,37,2,2,0,1.000,1.33,-6.67,,,2,0,0,0,207,116,80,76,130,.585,18,48,.375,37,48,.771,20,88,40,16,12,22,40,WCC,103.5,58.0,45.50,-6.67,8.00,93.95,91.73,2.22,2025-11-08
Maine,66.9,100.2,.288,.339,.499,66.7,44.4,13.5,13.8,.475,19.3,47.1,.186,66.9,70.3,.235,.431,.414,33.3,50.0,15.0,7.7,.363,20.9,14.3,.196,27,59,.458,2,20,.100,11,17,.647,16,46,12,9,4,16,15,1,0,1,.000,0.00,20.00,,,0,0,0,1,47,67,40,16,51,.314,5,22,.227,10,12,.833,5,23,8,10,3,15,16,AEC,47.0,67.0,-20.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Manhattan,75.0,78.7,.203,.438,.420,28.8,45.5,6.7,2.3,.414,16.6,21.7,.094,75.0,166.8,.413,.413,.697,71.3,70.5,13.3,11.1,.673,7.2,61.8,.320,22,64,.344,9,28,.321,6,13,.462,10,23,10,5,1,14,20,1,1,0,1.000,,,,,1,0,0,0,125,59,40,44,75,.587,13,31,.419,24,31,.774,21,57,31,10,4,7,13,MAAC,125.0,59.0,66.00,,,,,,2025-11-08
Marist,67.5,97.7,.604,.491,.484,48.4,72.2,16.3,5.9,.406,13.9,30.8,.434,67.5,91.8,.568,.227,.555,51.6,66.7,7.4,22.2,.511,24.4,24.0,.386,18,53,.340,7,26,.269,23,32,.719,12,31,13,11,2,11,20,1,0,1,.000,0.50,4.50,,,0,0,0,1,62,66,40,21,44,.477,3,10,.300,17,25,.680,6,33,14,5,6,18,21,MAAC,62.0,66.0,-4.00,-3.50,4.00,97.92,97.19,0.73,2025-11-08
Marquette,78.1,86.4,.328,.344,.446,49.4,48.9,10.2,9.1,.397,19.2,33.7,.237,78.1,115.2,.461,.484,.577,50.6,62.7,16.6,11.6,.535,13.3,32.5,.336,47,131,.359,10,45,.222,31,43,.721,30,82,23,16,6,36,45,2,2,0,1.000,-4.67,-27.17,,,2,0,0,0,180,135,80,59,128,.461,19,62,.306,43,59,.729,25,84,37,26,10,24,39,Big East,90.0,67.5,22.50,-3.00,-1.67,99.53,106.73,-7.19,2025-11-08
Marshall,81.6,88.3,.655,.327,.499,41.2,78.3,15.9,3.8,.464,21.7,25.0,.382,81.6,95.6,.339,.536,.600,58.8,81.5,11.0,5.4,.571,28.6,35.7,.250,23,55,.418,5,18,.278,21,36,.583,10,28,18,13,1,20,20,1,1,0,1.000,0.00,-6.00,,,0,0,1,0,78,72,40,27,56,.482,10,30,.333,14,19,.737,10,40,22,9,2,26,29,Sun Belt,78.0,72.0,6.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Maryland,68.7,95.4,.461,.382,.527,48.6,52.4,7.3,22.8,.471,20.0,27.1,.343,68.7,104.1,.579,.467,.524,51.4,52.6,9.5,7.9,.421,15.5,31.1,.495,42,102,.412,12,39,.308,35,47,.745,19,70,22,10,13,31,42,2,1,1,.500,0.25,-5.75,,,0,1,0,0,143,131,80,38,107,.355,14,50,.280,53,62,.855,23,74,20,13,5,25,42,Big Ten,71.5,65.5,6.00,-3.50,3.75,102.54,100.80,1.74,2025-11-08
Maryland-Baltimore County,70.6,75.0,.283,.217,.389,47.4,23.8,4.2,14.3,.358,16.0,24.4,.167,70.6,104.8,.206,.444,.535,52.6,51.9,8.5,6.4,.516,13.7,27.0,.143,21,60,.350,1,13,.077,10,17,.588,10,37,5,3,5,13,12,1,1,0,1.000,,,,,1,0,0,0,74,53,40,27,63,.429,11,28,.393,9,13,.692,10,41,14,6,3,11,16,AEC,74.0,53.0,21.00,,,,,,2025-11-08
Maryland-Eastern Shore,67.7,104.3,.346,.485,.474,53.4,53.8,21.5,20.0,.430,12.7,41.6,.243,67.7,56.3,.216,.369,.331,46.6,61.3,7.6,10.0,.311,29.0,34.1,.108,52,136,.382,13,66,.197,33,47,.702,37,93,28,31,14,23,31,2,0,2,.000,9.16,43.66,,,0,0,0,2,81,150,85,31,111,.279,7,41,.171,12,24,.500,29,81,19,11,7,50,38,MEAC,40.5,75.0,-34.50,1.83,7.33,103.49,91.96,11.52,2025-11-08
Massachusetts,81.6,95.6,.339,.536,.600,58.8,81.5,11.0,5.4,.571,28.6,35.7,.250,81.6,88.3,.655,.327,.499,41.2,78.3,15.9,3.8,.464,21.7,25.0,.382,27,56,.482,10,30,.333,14,19,.737,10,40,22,9,2,26,29,1,0,1,.000,0.00,6.00,,,0,1,0,0,72,78,40,23,55,.418,5,18,.278,21,36,.583,10,28,18,13,1,20,20,MAC,72.0,78.0,-6.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Massachusetts-Lowell,75.9,108.7,.234,.431,.542,49.0,54.8,12.5,13.8,.511,14.1,32.5,.182,75.9,101.4,.536,.286,.548,51.0,51.0,7.9,6.4,.491,19.0,32.4,.393,62,137,.453,16,59,.271,25,32,.781,25,71,34,19,11,25,44,2,1,1,.500,-26.00,37.00,,,1,0,0,1,154,165,80,49,112,.438,12,32,.375,44,60,.733,22,74,25,12,5,33,29,AEC,77.0,82.5,-5.50,-5.33,-20.67,102.60,103.45,-0.85,2025-11-08
McNeese State,75.8,94.9,.235,.545,.491,47.5,58.0,5.9,5.4,.473,20.6,39.5,.144,75.8,127.9,.406,.326,.589,52.5,55.1,16.5,18.3,.547,11.3,43.4,.312,50,132,.379,25,72,.347,19,31,.613,34,77,29,9,5,38,40,2,1,1,.500,0.00,12.00,,,1,0,0,1,194,144,80,69,138,.500,13,45,.289,43,56,.768,33,85,38,25,11,21,31,Southland,97.0,72.0,25.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,American,,,,,,,,,2025-11-08
Mercer,76.9,89.7,.145,.312,.468,55.9,47.4,7.2,16.7,.453,22.6,42.9,.094,76.9,105.3,.363,.425,.473,44.1,50.0,18.9,12.6,.428,8.5,33.3,.253,57,138,.413,11,43,.256,13,20,.650,36,104,27,11,14,43,38,2,1,1,.500,0.00,15.00,,,1,0,0,1,162,138,80,54,146,.370,17,62,.274,37,53,.698,34,82,27,29,12,16,32,Southern,81.0,69.0,12.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Mercyhurst,67.5,100.0,.581,.429,.504,53.7,69.2,8.1,15.4,.433,16.3,33.3,.419,67.5,88.8,.298,.316,.461,46.3,60.5,11.8,16.7,.412,15.0,25.0,.228,39,105,.371,13,45,.289,44,61,.721,25,79,27,11,12,26,30,2,1,1,.500,3.29,10.79,,,0,0,1,1,120,135,80,43,114,.377,8,36,.222,26,34,.765,18,68,26,16,10,23,43,NEC,60.0,67.5,-7.50,-1.88,5.17,95.35,86.67,8.68,2025-11-08
Merrimack,68.8,123.6,.529,.353,.571,64.3,56.4,8.0,17.6,.517,12.9,49.3,.395,68.8,89.4,.455,.545,.451,35.7,47.1,10.9,11.7,.375,13.9,22.9,.348,55,119,.462,13,42,.310,47,63,.746,35,99,31,11,9,22,38,2,0,2,.000,-24.40,-0.90,,,0,0,0,1,123,170,80,34,112,.304,16,61,.262,39,51,.765,19,55,16,15,9,22,48,MAAC,61.5,85.0,-23.50,-21.40,-3.00,72.27,126.84,-54.58,2025-11-08
Miami (FL),72.9,89.1,.266,.444,.465,41.0,43.8,7.5,7.1,.444,15.7,24.7,.161,72.9,128.2,.513,.270,.654,59.0,65.2,10.3,14.5,.622,12.8,34.0,.383,48,124,.387,14,55,.255,20,33,.606,20,55,21,11,6,26,45,2,2,0,1.000,26.80,-1.70,,,2,0,0,0,187,130,80,66,115,.574,11,31,.355,44,59,.746,18,79,43,15,10,21,35,ACC,93.5,65.0,28.50,7.60,19.20,131.82,76.83,54.99,2025-11-08
Miami (OH),77.4,78.2,.213,.370,.433,40.8,45.5,9.0,4.5,.398,20.9,25.3,.157,77.4,139.6,.463,.446,.732,59.2,51.4,14.2,15.0,.711,15.0,34.5,.364,44,127,.346,13,47,.277,20,27,.741,22,58,20,14,3,37,47,2,2,0,1.000,0.00,-15.00,,,2,0,0,0,216,121,80,72,121,.595,28,54,.519,44,56,.786,19,84,37,22,12,26,30,MAC,108.0,60.5,47.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
Michigan,77.7,100.5,.234,.406,.548,35.5,40.7,7.7,0.0,.508,13.4,12.8,.203,77.7,155.8,.186,.500,.794,64.5,68.9,3.9,18.4,.779,9.5,26.1,.171,27,64,.422,11,26,.423,13,15,.867,5,22,11,6,0,11,11,1,1,0,1.000,22.00,-21.00,,,1,0,0,0,121,78,40,45,70,.643,19,35,.543,12,13,.923,6,40,31,3,7,8,15,Big Ten,121.0,78.0,43.00,22.67,-0.67,112.29,100.75,11.54,2025-11-08
Michigan State,69.2,99.7,.105,.509,.576,34.7,51.9,8.7,5.1,.570,17.8,9.7,.070,69.2,115.6,.617,.350,.516,65.3,72.0,11.6,10.7,.467,11.4,46.3,.400,27,57,.474,11,29,.379,4,6,.667,3,25,14,6,2,13,25,1,1,0,1.000,1.42,-9.58,,,1,0,0,0,80,69,40,25,60,.417,6,21,.286,24,37,.649,19,47,18,8,3,10,13,Big Ten,80.0,69.0,11.00,11.11,-9.70,112.69,102.43,10.26,2025-11-08
Middle Tennessee,76.6,66.6,.258,.424,.344,46.5,38.9,6.5,0.0,.311,18.7,28.6,.152,76.6,130.5,.205,.562,.624,53.5,59.5,11.7,21.1,.623,8.0,29.7,.123,18,66,.273,5,28,.179,10,17,.588,14,40,7,5,0,17,10,1,1,0,1.000,,,,,1,0,0,0,100,51,40,37,73,.507,17,41,.415,9,15,.600,11,46,22,9,8,7,15,CUSA,100.0,51.0,49.00,,,,,,2025-11-08
Milwaukee,79.6,108.1,.540,.381,.543,48.9,69.2,7.5,7.3,.484,18.5,37.2,.397,79.6,113.1,.600,.414,.500,51.1,69.0,11.3,17.9,.479,9.1,41.2,.329,26,63,.413,9,24,.375,25,34,.735,16,46,18,6,3,18,31,1,1,0,1.000,0.00,-4.00,,,1,0,0,0,90,86,40,29,70,.414,9,29,.310,23,42,.548,21,48,20,9,7,9,30,Horizon,90.0,86.0,4.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Minnesota,72.0,83.3,.474,.333,.430,40.8,42.1,9.7,17.6,.386,16.7,25.0,.281,72.0,120.8,.545,.382,.628,59.2,83.3,12.5,18.4,.609,16.8,37.5,.364,19,57,.333,6,19,.316,16,27,.593,11,31,8,7,6,14,23,1,1,0,1.000,-7.33,-34.33,,,1,0,0,0,87,60,40,30,55,.545,7,21,.333,20,30,.667,12,45,25,9,7,14,23,Big Ten,87.0,60.0,27.00,-6.67,-0.67,94.10,101.62,-7.52,2025-11-08
Mississippi,70.3,87.4,.375,.527,.466,41.2,65.0,10.0,1.5,.438,17.5,22.9,.223,70.3,123.7,.358,.458,.620,58.8,59.3,11.4,20.8,.583,14.1,35.4,.283,40,112,.357,18,59,.305,25,42,.595,19,61,26,14,1,28,37,2,2,0,1.000,10.09,-15.41,,,2,0,0,0,174,123,80,59,120,.492,22,55,.400,34,43,.791,23,87,35,16,11,23,40,SEC,87.0,61.5,25.50,2.08,8.01,95.68,90.81,4.87,2025-11-08
Mississippi State,71.6,86.7,.185,.292,.438,40.4,29.2,7.0,18.2,.423,15.5,24.4,.108,71.6,120.2,.338,.380,.522,59.6,48.4,12.6,13.0,.493,7.8,43.2,.225,24,65,.369,7,19,.368,7,12,.583,11,36,7,5,8,13,20,1,1,0,1.000,0.00,-24.00,,,1,0,0,0,86,62,40,31,71,.437,8,27,.296,16,24,.667,19,53,15,9,6,7,14,SEC,86.0,62.0,24.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Mississippi Valley State,81.0,113.2,.371,.429,.557,51.9,58.3,14.8,5.2,.526,12.1,32.5,.257,81.0,87.2,.330,.373,.495,48.1,55.7,10.3,10.0,.438,23.0,27.4,.270,96,210,.457,29,90,.322,54,78,.692,41,126,56,36,6,34,46,3,1,2,.333,-39.92,9.58,,,1,0,0,2,212,275,120,70,185,.378,22,69,.319,50,61,.820,32,117,39,25,12,64,62,SWAC,70.7,91.7,-21.00,-13.82,-26.10,85.68,119.86,-34.18,2025-11-08
Missouri,74.6,101.2,.296,.472,.530,44.2,60.8,10.7,3.7,.492,16.9,30.7,.224,74.6,118.7,.452,.296,.634,55.8,43.9,10.7,13.6,.643,20.0,39.7,.252,51,125,.408,21,59,.356,28,37,.757,23,61,31,16,3,29,44,2,2,0,1.000,-15.99,-28.99,,,1,0,1,0,177,151,80,66,115,.574,16,34,.471,29,52,.558,25,77,29,16,9,35,35,SEC,88.5,75.5,13.00,3.33,-19.32,98.18,113.92,-15.74,2025-11-08
Missouri State,75.8,92.3,.164,.315,.445,44.2,58.6,7.9,12.5,.438,13.2,31.9,.082,75.8,116.0,.266,.392,.495,55.8,42.4,10.5,12.0,.449,8.2,43.8,.215,29,73,.397,6,23,.261,6,12,.500,15,42,17,6,6,12,20,1,1,0,1.000,,,,,1,0,0,0,88,70,40,33,79,.418,5,31,.161,17,21,.810,21,53,14,8,6,8,11,CUSA,88.0,70.0,18.00,,,,,,2025-11-08
Monmouth,80.3,84.7,.190,.444,.495,36.1,41.7,11.2,8.0,.468,20.8,14.6,.143,80.3,119.5,.315,.315,.572,63.9,52.8,16.2,22.9,.555,14.3,42.9,.205,24,63,.381,11,28,.393,9,12,.750,6,30,10,9,4,18,18,1,1,0,1.000,,,,,1,0,0,0,96,68,40,36,73,.493,9,23,.391,15,23,.652,18,53,19,13,8,14,12,CAA,96.0,68.0,28.00,,,,,,2025-11-08
Montana,72.7,55.0,.211,.342,.319,29.1,36.7,7.6,6.2,.294,18.3,9.7,.114,72.7,123.1,.542,.449,.603,70.9,47.5,10.3,1.3,.559,14.9,43.1,.398,30,114,.263,7,39,.179,13,24,.542,9,46,11,11,4,28,41,2,2,0,1.000,,,,,2,0,0,0,179,80,80,59,118,.500,14,53,.264,47,64,.734,28,112,28,15,1,26,30,Big Sky,89.5,40.0,49.50,,,,,,2025-11-08
Montana State,68.7,93.2,.417,.243,.519,42.7,47.9,10.2,4.7,.485,19.0,25.0,.272,68.7,139.7,.194,.484,.709,57.3,43.8,13.1,5.1,.702,14.0,35.8,.145,48,103,.466,4,25,.160,28,43,.651,16,50,23,14,3,29,27,2,1,1,.500,0.00,6.00,,,1,0,0,1,192,128,80,73,124,.589,28,60,.467,18,24,.750,19,67,32,18,4,22,38,Big Sky,96.0,64.0,32.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Morehead State,74.3,111.1,.239,.351,.553,55.7,60.9,9.4,11.4,.545,16.3,39.7,.142,74.3,103.7,.353,.336,.554,44.3,53.6,11.4,10.3,.521,16.3,26.9,.252,64,134,.478,18,47,.383,19,32,.594,29,78,39,14,9,29,33,2,1,1,.500,-1.00,15.00,,,1,0,0,1,154,165,80,56,119,.471,12,40,.300,30,42,.714,18,62,30,17,9,27,33,OVC,77.0,82.5,-5.50,-4.50,3.50,100.85,101.03,-0.18,2025-11-08
Morgan State,78.4,104.6,.484,.377,.547,46.8,52.6,12.1,13.4,.520,15.7,30.1,.303,78.4,109.1,.479,.322,.576,53.2,46.6,10.8,11.8,.533,18.2,35.3,.347,57,122,.467,13,46,.283,37,59,.627,22,66,30,19,11,28,43,2,1,1,.500,-6.75,10.25,,,1,0,0,1,171,164,80,58,121,.479,13,39,.333,42,58,.724,24,75,27,17,9,33,44,MEAC,85.5,82.0,3.50,6.50,-13.25,106.50,112.11,-5.61,2025-11-08
Mount St. Mary's,66.4,107.7,.547,.377,.535,43.2,37.0,13.6,7.3,.495,8.9,20.0,.358,66.4,87.4,.454,.433,.492,56.8,57.9,6.0,4.5,.438,22.9,29.7,.320,46,106,.434,13,40,.325,38,58,.655,15,60,17,18,4,13,35,2,0,2,.000,-5.90,7.60,,,0,1,0,1,116,143,80,38,97,.392,9,42,.214,31,44,.705,19,79,22,8,3,35,48,MAAC,58.0,71.5,-13.50,-2.97,-2.93,97.06,108.93,-11.87,2025-11-08
Murray State,78.3,87.5,.315,.218,.481,48.4,26.5,7.7,11.1,.427,21.9,32.1,.250,78.3,123.3,.420,.543,.583,51.6,63.9,12.1,7.2,.529,10.3,35.8,.341,49,124,.395,8,27,.296,31,39,.795,25,77,13,12,7,40,43,2,2,0,1.000,12.03,-15.97,,,1,0,0,0,193,137,80,61,138,.442,24,75,.320,47,58,.810,29,82,39,19,7,19,38,MVC,96.5,68.5,28.00,6.28,5.75,114.47,97.49,16.98,2025-11-08
NC State,73.7,92.3,.353,.361,.489,43.1,46.0,12.9,7.3,.458,18.7,31.2,.227,73.7,141.2,.416,.560,.695,56.9,65.7,13.6,5.3,.676,13.3,41.7,.312,50,119,.420,9,43,.209,27,42,.643,24,59,23,19,4,32,36,2,2,0,1.000,34.67,-1.33,,,2,0,0,0,208,136,80,70,125,.560,29,70,.414,39,52,.750,25,78,46,20,4,23,34,ACC,104.0,68.0,36.00,25.24,9.43,144.07,89.63,54.44,2025-11-08
NJIT,64.7,94.3,.269,.358,.404,54.9,39.1,9.3,10.8,.373,9.6,40.4,.164,64.7,111.3,.136,.373,.573,45.1,50.0,6.2,7.0,.576,14.9,25.7,.068,23,67,.343,4,24,.167,11,18,.611,19,45,9,6,4,8,15,1,1,0,1.000,0.00,-11.00,,,0,0,1,0,72,61,40,28,59,.475,12,22,.545,4,8,.500,9,37,14,4,3,11,13,AEC,72.0,61.0,11.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Navy,70.0,108.5,.391,.409,.557,51.9,55.8,11.4,15.8,.517,15.5,31.9,.287,70.0,102.8,.495,.276,.555,48.1,53.1,11.4,8.8,.510,17.2,25.8,.352,52,115,.452,15,47,.319,33,45,.733,22,68,29,16,12,25,42,2,1,1,.500,0.00,4.00,,,0,1,1,0,144,152,80,49,105,.467,9,29,.310,37,52,.712,16,63,26,16,6,27,40,Patriot,72.0,76.0,-4.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Nebraska,70.5,75.2,.200,.369,.372,43.0,42.1,9.9,12.5,.323,14.4,26.1,.169,70.5,121.9,.391,.500,.567,57.0,66.7,9.9,2.4,.547,10.6,37.5,.250,19,65,.292,4,24,.167,11,13,.846,12,37,8,7,4,12,21,1,1,0,1.000,0.00,-33.00,,,1,0,0,0,86,53,40,30,64,.469,10,32,.313,16,25,.640,15,49,20,7,1,9,14,Big Ten,86.0,53.0,33.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Nevada,62.7,79.8,.340,.440,.430,36.6,55.6,9.6,22.2,.390,18.3,22.2,.220,62.7,122.8,.500,.357,.556,63.4,64.0,9.6,10.7,.500,12.6,48.6,.375,18,50,.360,3,22,.136,11,17,.647,8,26,10,6,8,13,21,1,1,0,1.000,0.00,-27.00,,,1,0,0,0,77,50,40,25,56,.446,6,20,.300,21,28,.750,17,45,16,6,3,10,17,MWC,77.0,50.0,27.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Nevada-Las Vegas,80.2,107.2,.873,.545,.553,45.8,75.0,15.0,11.1,.536,15.3,27.5,.491,80.2,101.0,.740,.460,.599,54.2,69.6,10.0,16.0,.530,24.6,31.3,.560,24,55,.436,11,30,.367,27,48,.563,11,33,18,12,3,14,27,1,0,1,.000,0.00,5.00,,,0,1,0,0,81,86,40,23,50,.460,7,23,.304,28,37,.757,10,39,16,8,4,22,31,MWC,81.0,86.0,-5.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
New Hampshire,75.0,79.3,.496,.304,.419,44.5,45.9,2.0,9.9,.357,16.0,21.8,.322,75.0,100.6,.140,.460,.472,55.5,50.8,9.3,7.5,.460,12.6,34.7,.087,37,115,.322,8,35,.229,37,57,.649,19,81,17,3,8,27,27,2,1,1,.500,-8.00,42.00,,,1,0,0,1,151,119,80,59,150,.393,20,69,.290,13,21,.619,33,101,30,14,6,23,43,AEC,75.5,59.5,16.00,-14.00,6.00,79.57,96.91,-17.34,2025-11-08
New Haven,66.1,113.5,.324,.371,.619,60.9,40.7,11.3,14.5,.590,18.8,31.6,.248,66.1,81.7,.275,.303,.438,39.1,26.8,11.3,4.5,.408,15.7,17.1,.174,54,105,.514,16,39,.410,26,34,.765,18,81,22,15,11,28,34,2,0,2,.000,13.00,34.00,,,0,1,0,1,108,150,80,41,109,.376,7,33,.212,19,30,.633,13,52,11,15,3,23,29,NEC,54.0,75.0,-21.00,2.67,10.33,124.33,80.40,43.93,2025-11-08
New Mexico,77.1,70.1,.177,.548,.402,47.6,42.9,10.4,7.0,.379,23.8,26.2,.113,77.1,98.6,.365,.317,.514,52.4,55.6,14.3,3.6,.492,16.9,30.0,.222,21,62,.339,5,34,.147,7,11,.636,11,39,9,8,3,21,19,1,1,0,1.000,0.00,-22.00,,,1,0,0,0,76,54,40,27,63,.429,8,20,.400,14,23,.609,12,43,15,11,1,15,13,MWC,76.0,54.0,22.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
New Mexico State,89.2,80.7,.492,.410,.478,47.6,42.9,7.8,25.9,.385,22.6,20.5,.410,89.2,93.1,.522,.217,.482,52.4,50.0,16.8,13.9,.442,14.8,27.9,.319,21,61,.344,5,25,.200,25,30,.833,8,39,9,7,14,22,24,1,1,0,1.000,,,,,1,0,0,0,83,72,40,28,69,.406,5,15,.333,22,36,.611,12,43,14,15,5,15,23,CUSA,83.0,72.0,11.00,,,,,,2025-11-08
New Orleans,75.2,98.4,.388,.403,.466,41.8,50.0,13.3,10.3,.410,11.2,30.8,.284,75.2,103.7,.333,.316,.591,58.2,50.0,9.3,5.0,.553,22.3,42.9,.263,26,67,.388,3,27,.111,19,26,.731,12,28,13,10,4,10,18,1,1,0,1.000,30.00,26.00,,,0,0,1,0,78,74,40,28,57,.491,7,18,.389,15,19,.789,12,39,14,7,2,19,24,Southland,78.0,74.0,4.00,10.00,20.00,121.92,74.41,47.51,2025-11-08
Niagara,71.0,116.9,.236,.473,.678,56.1,58.1,11.3,11.8,.664,21.7,26.9,.182,71.0,88.7,.563,.292,.518,43.9,30.0,14.1,13.8,.438,20.8,19.4,.438,31,55,.564,11,26,.423,10,13,.769,7,32,18,8,4,17,26,1,0,1,.000,-4.00,16.00,,,0,0,0,1,63,83,40,20,48,.417,2,14,.143,21,27,.778,6,25,6,10,4,16,14,MAAC,63.0,83.0,-20.00,-8.50,4.50,87.95,102.24,-14.30,2025-11-08
