team_name,opponent_pace,opponent_offensive_rating,opponent_free_throw_attempt_rate,opponent_three_point_attempt_rate,opponent_true_shooting_percentage,opponent_team_rebound_percentage,opponent_assist_percentage,opponent_steal_percentage,opponent_block_percentage,opponent_effective_field_goal_percentage,opponent_turnover_percentage,opponent_offensive_rebound_percentage,opponent_free_throws_per_field_goal_attempt,pace,offensive_rating,free_throw_attempt_rate,three_point_attempt_rate,true_shooting_percentage,team_rebound_percentage,assist_percentage,steal_percentage,block_percentage,effective_field_goal_percentage,turnover_percentage,offensive_rebound_percentage,free_throws_per_field_goal_attempt,opponent_field_goals,opponent_field_goals_attempted,opponent_field_goal_percentage,opponent_three_point_field_goals,opponent_three_point_field_goals_attempted,opponent_three_point_percentage,opponent_free_throws,opponent_free_throws_attempted,opponent_free_throw_percentage,opponent_offensive_rebounds,opponent_team_rebounds,opponent_assists,opponent_steals,opponent_blocks,opponent_turnovers,opponent_personal_fouls,games,wins,losses,win_percentage,simple_rating_system,strength_of_schedule,wins_conf,losses_conf,home_wins,home_losses,wins_visitor,losses_visitor,team_points,opponent_points,minutes_played,field_goals,field_goals_attempted,field_goal_percentage,three_point_field_goals,three_point_field_goals_attempted,three_point_percentage,free_throws,free_throws_attempted,free_throw_percentage,offensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,personal_fouls,conference,points_per_game,opponent_points_per_game,margin_of_victory,offensive_srs,defensive_srs,offensive_rating_adjusted,defensive_rating_adjusted,net_rating_adjusted,date
Idaho,72.5,89.7,.432,.576,.457,38.5,47.5,11.0,6.2,.403,10.7,15.9,.297,72.5,122.2,.314,.449,.653,61.5,62.9,7.6,8.0,.623,16.6,31.1,.254,40,118,.339,15,68,.221,35,51,.686,13,55,19,16,4,17,37,2,2,0,1.000,-7.00,-9.00,,,1,0,1,0,177,130,80,62,118,.525,23,53,.434,30,37,.811,19,88,39,11,4,27,35,Big Sky,88.5,65.0,23.50,-1.00,-6.00,101.11,109.12,-8.01,2025-11-08
Idaho State,63.8,108.9,.167,.368,.565,40.0,54.7,9.4,9.0,.553,15.2,26.7,.114,63.8,119.1,.408,.442,.530,60.0,47.2,10.2,13.9,.508,10.6,48.6,.250,53,114,.465,20,42,.476,13,19,.684,16,52,29,12,6,22,35,2,2,0,1.000,0.00,-3.00,,,1,0,1,0,152,139,80,53,120,.442,16,53,.302,30,49,.612,34,78,25,13,10,17,26,Big Sky,76.0,69.5,6.50,0.00,0.00,103.01,103.01,0.00,2025-11-08
Illinois,75.2,83.1,.184,.397,.408,30.4,40.0,10.0,5.7,.369,7.3,17.5,.149,75.2,150.2,.420,.493,.683,69.6,50.0,4.0,12.9,.652,10.3,50.0,.333,45,141,.319,14,56,.250,21,26,.808,17,49,18,15,4,12,47,2,2,0,1.000,30.97,-19.53,,,2,0,0,0,226,125,80,76,138,.551,28,68,.412,46,58,.793,32,112,38,6,11,19,25,Big Ten,113.0,62.5,50.50,11.99,18.98,113.24,85.23,28.01,2025-11-08
Illinois State,70.0,102.8,.491,.145,.531,49.3,46.4,5.7,8.3,.518,10.6,15.6,.273,70.0,97.1,.177,.419,.506,50.7,40.7,5.7,8.5,.500,14.1,23.1,.097,28,55,.509,1,8,.125,15,27,.556,5,35,13,4,3,8,13,1,0,1,.000,-5.33,-1.33,,,0,0,0,1,68,72,40,27,62,.435,8,26,.308,6,11,.545,9,36,11,4,4,11,20,MVC,68.0,72.0,-4.00,-14.00,8.67,82.69,93.31,-10.62,2025-11-08
Illinois-Chicago,74.1,99.2,.352,.523,.492,55.0,60.4,13.5,9.3,.438,19.4,43.9,.273,74.1,110.6,.514,.514,.594,45.0,56.3,13.5,16.4,.523,17.8,31.3,.432,48,128,.375,16,67,.239,35,45,.778,36,82,29,20,5,36,42,2,1,1,.500,2.28,-6.22,,,1,0,0,1,164,147,80,48,111,.432,20,57,.351,48,57,.842,21,67,27,20,10,30,38,MVC,82.0,73.5,8.50,1.12,1.16,109.56,97.92,11.64,2025-11-08
Incarnate Word,70.5,112.1,.486,.355,.600,51.0,55.1,5.7,4.3,.537,17.0,30.8,.402,70.5,119.2,.239,.478,.563,49.0,54.8,10.6,2.9,.549,11.8,32.5,.157,49,107,.458,17,38,.447,43,52,.827,20,74,27,8,3,27,28,2,1,1,.500,0.00,34.00,,,1,0,0,1,168,158,80,62,134,.463,23,64,.359,21,32,.656,26,71,34,15,2,20,40,Southland,84.0,79.0,5.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Indiana,70.3,72.5,.358,.283,.411,31.1,50.0,8.5,5.9,.387,15.1,7.7,.189,70.3,139.4,.276,.414,.747,68.9,63.9,10.0,5.3,.707,14.4,27.3,.276,18,53,.340,5,15,.333,10,19,.526,3,19,9,6,2,11,16,1,1,0,1.000,0.00,-47.00,,,1,0,0,0,98,51,40,36,58,.621,10,24,.417,16,16,1.000,6,42,23,7,2,11,18,Big Ten,98.0,51.0,47.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Indiana State,74.2,111.1,.374,.350,.570,47.1,45.8,10.8,1.3,.553,14.7,31.9,.236,74.2,121.2,.444,.387,.600,52.9,62.5,10.1,6.3,.569,14.8,38.0,.315,59,123,.480,18,43,.419,29,46,.630,22,66,27,16,1,25,39,2,1,1,.500,-7.33,8.67,,,1,0,0,1,180,165,80,64,124,.516,13,48,.271,39,55,.709,27,74,40,15,5,26,34,MVC,90.0,82.5,7.50,7.33,-14.67,106.70,112.57,-5.87,2025-11-08
Iona,74.7,97.7,.286,.397,.510,52.7,42.9,9.4,11.8,.500,17.3,36.8,.159,74.7,108.5,.450,.433,.556,47.3,59.3,10.7,0.0,.525,17.1,30.6,.300,28,63,.444,7,25,.280,10,18,.556,14,39,12,7,4,15,24,1,1,0,1.000,2.00,-6.00,,,1,0,0,0,81,73,40,27,60,.450,9,26,.346,18,27,.667,11,35,16,8,0,15,17,MAAC,81.0,73.0,8.00,-0.50,2.50,103.58,100.14,3.44,2025-11-08
Iowa,65.9,96.4,.421,.411,.557,50.9,42.9,4.6,7.0,.526,24.5,33.3,.284,65.9,135.2,.660,.412,.699,49.1,76.4,14.4,5.4,.655,12.4,28.6,.526,42,95,.442,16,39,.410,27,40,.675,19,54,18,6,4,37,49,2,2,0,1.000,16.40,-9.10,,,2,0,0,0,178,127,80,55,97,.567,17,40,.425,51,64,.797,14,52,42,19,3,18,39,Big Ten,89.0,63.5,25.50,8.20,8.20,128.17,91.87,36.31,2025-11-08
Iowa State,72.8,77.0,.396,.386,.467,40.8,44.7,9.6,8.0,.426,23.6,18.1,.257,72.8,130.6,.286,.436,.629,59.2,53.5,17.2,11.3,.624,12.2,35.7,.180,38,101,.376,10,39,.256,26,40,.650,13,58,17,14,6,37,32,2,2,0,1.000,0.00,-39.00,,,2,0,0,0,190,112,80,71,133,.534,24,58,.414,24,38,.632,25,84,38,25,7,21,40,Big 12,95.0,56.0,39.00,0.00,0.00,103.01,103.01,0.00,2025-11-08
Jackson State,76.3,143.5,.421,.500,.652,69.6,62.7,11.1,4.3,.632,11.6,49.3,.300,76.3,81.9,.240,.448,.449,30.4,34.1,11.1,8.6,.424,14.2,12.9,.152,75,140,.536,27,70,.386,42,59,.712,36,110,47,17,3,22,28,2,0,2,.000,5.16,52.16,,,0,0,0,2,125,219,80,44,125,.352,18,56,.321,19,30,.633,11,48,15,17,6,23,44,SWAC,62.5,109.5,-47.00,7.83,-2.67,123.23,110.21,13.02,2025-11-08
Jacksonville,79.5,82.4,.505,.327,.494,40.8,54.8,8.2,5.4,.411,21.3,18.3,.402,79.5,126.5,.364,.471,.612,59.2,45.3,15.1,13.9,.611,12.8,40.0,.214,42,107,.393,4,35,.114,43,54,.796,11,53,23,13,4,36,35,2,1,1,.500,31.60,48.60,,,1,0,0,1,201,131,80,75,140,.536,21,66,.318,30,51,.588,28,77,34,24,10,24,40,A-Sun,100.5,65.5,35.00,19.60,12.00,114.14,86.85,27.29,2025-11-08
